Date,Open,High,Low,Close,Volume
2019-01-02 00:00:00-05:00,225.2580236050036,230.0474453412234,225.2305519981561,229.1042022705078,126925200
2019-01-03 00:00:00-05:00,227.3184810980029,227.6298492688253,223.14262911930857,223.63714599609375,144140700
2019-01-04 00:00:00-05:00,226.73239767329744,231.78738302154989,226.34778119738212,231.12803649902344,142628800
2019-01-07 00:00:00-05:00,231.40273097540467,234.3880949571933,230.48697360970095,232.9503631591797,103139100
2019-01-08 00:00:00-05:00,235.1848274661977,235.63353965934908,232.60238483289257,235.13902282714844,102512600
2019-01-09 00:00:00-05:00,235.86245118730932,237.09872914860486,234.6078681405729,236.2379150390625,95006600
2019-01-10 00:00:00-05:00,234.67205436919895,237.32774585211334,233.97606964180042,237.0713348388672,96823900
2019-01-11 00:00:00-05:00,235.97237087221262,237.1903439198364,235.37713412444202,237.16287231445312,73858100
2019-01-14 00:00:00-05:00,235.22141034920043,236.54010311759822,234.80933632576074,235.71592712402344,70908200
2019-01-15 00:00:00-05:00,236.1005847958098,238.73797063759875,236.09141827866375,238.41744995117188,85208300
2019-01-16 00:00:00-05:00,238.85705979347767,239.90103694743053,238.6464534161303,238.99444580078125,77636700
2019-01-17 00:00:00-05:00,238.10613387480674,241.68674931442158,238.06032922844716,240.80760192871094,96118400
2019-01-18 00:00:00-05:00,242.65745301844606,244.4889681739871,240.8442429536472,244.01275634765625,127900300
2019-01-22 00:00:00-05:00,242.51093898757796,242.73071187284518,239.06768140263344,240.71603393554688,115531200
2019-01-23 00:00:00-05:00,241.76911027552805,242.48339990058437,238.70131752106553,241.2196502685547,86030300
2019-01-24 00:00:00-05:00,241.03656140437877,241.94318047476648,240.00175079624967,241.34791564941406,59204100
2019-01-25 00:00:00-05:00,243.23433883396692,244.23253911303505,241.44862845736085,243.39002990722656,96883400
2019-01-28 00:00:00-05:00,241.20138110597978,241.60428869462487,239.73616351805762,241.5402069091797,85613700
2019-01-29 00:00:00-05:00,241.68669546648658,242.2635991297769,240.36800262842925,241.2196502685547,66136300
2019-01-30 00:00:00-05:00,242.7673000572957,245.89917481484107,241.98890065317747,245.03836059570312,92473700
